,t_set,f_occ,t_i,V_g,t_e,leave,leave_fwb,t_set_default,f_occ_pred,t_e_air,hhv,gamma_s_deg,h_s_deg,theta_z_deg,I_th,I_bh,t_e_we
2022-11-01 16:00:00,12.0,0.0,19.809,0.0,15.889,1.0,1,12.0,0,15.602081131759968,11.597859933333336,64.77285146093362,0.5157178618398603,89.48428213816014,21.28,8.63111111111111,13.806540000000012
2022-11-01 16:15:00,12.0,0.0,19.776,0.0,15.705,1.0,1,12.0,0,15.478721150322375,11.597859933333336,67.66092517385069,0.0,91.66321858647706,10.817777777777778,4.324444444444444,13.677570000000015
2022-11-01 16:30:00,12.0,0.0,19.776,0.0,15.519,1.0,1,12.0,0,15.348844688639604,11.597859933333336,70.51740744772816,0.0,93.88744051348051,0.3555555555555555,0.0177777777777777,13.548600000000022
2022-11-01 16:45:00,12.0,0.0,19.741,0.0,15.277,1.0,1,12.0,0,15.269168051720987,11.597859933333336,73.3502190310169,0.0,96.1510144666373,0.2666666666666666,0.0133333333333333,13.482350000000023
2022-11-01 17:00:00,12.0,0.0,19.741,0.0,15.034,1.0,1,12.0,0,15.18945300848008,11.597859933333336,76.16767984711772,0.0,98.4481597406806,0.1777777777777777,0.0088888888888888,13.416100000000029
2022-11-01 17:15:00,12.0,0.0,19.741,0.0,14.788,1.0,1,12.0,0,15.11022708818626,11.597859933333336,78.97852711781255,0.0,100.7732051132284,0.0888888888888889,0.0044444444444444,13.349850000000032
2022-11-01 17:30:00,12.0,0.0,19.741,0.0,14.666,1.0,1,12.0,0,15.032121538337734,11.597859933333336,81.79195137058771,0.0,103.12053964083012,0.0,0.0,13.283600000000035
2022-11-01 17:45:00,12.0,0.0,19.742,0.0,14.484,1.0,1,12.0,0,14.96544838678784,11.597859933333336,84.61764901139188,0.0,105.48455747994144,0.0,0.0,13.24884000000003
2022-11-01 18:00:00,12.0,0.0,19.708,0.0,14.299,1.0,1,12.0,0,14.899351557199918,11.597859933333336,87.46589012113712,0.0,107.85959636626724,0.0,0.0,13.214080000000024
2022-11-01 18:15:00,12.0,0.0,19.674,0.0,14.176,1.0,1,12.0,0,14.83371545854896,11.597859933333336,90.34759993499476,0.0,110.23986908342415,0.0,0.0,13.179320000000018
2022-11-01 18:30:00,12.0,0.0,19.674,0.0,14.056,1.0,1,12.0,0,14.76838555252725,11.597859933333336,93.2744519672802,0.0,112.61938698373017,0.0,0.0,13.144560000000013
2022-11-01 18:45:00,12.0,0.0,19.675,0.0,14.056,1.0,1,12.0,0,14.71124902970768,11.597859933333336,96.25896979571289,0.0,114.99187440636489,0.0,0.0,13.112970000000018
2022-11-01 19:00:00,12.0,0.0,19.674,0.0,13.932,1.0,1,12.0,0,14.653756588291202,11.597859933333336,99.3146329059356,0.0,117.35067270164942,0.0,0.0,13.081380000000024
2022-11-01 19:15:00,12.0,0.0,19.64,0.0,13.936,1.0,1,12.0,0,14.59650472467064,11.597859933333336,102.45597943453387,0.0,119.6886325673084,0.0,0.0,13.04979000000003
2022-11-01 19:30:00,12.0,0.0,19.641,0.0,13.994,1.0,1,12.0,0,14.540155648635611,11.597859933333336,105.69869476513809,0.0,121.9979936230329,0.0,0.0,13.018200000000036
2022-11-01 19:45:00,12.0,0.0,19.623,0.0,14.056,1.0,1,12.0,0,14.492466977710096,11.597859933333336,109.05966926752122,0.0,124.27025073274412,0.0,0.0,12.99720750000003
2022-11-01 20:00:00,12.0,0.0,19.606,0.0,13.932,1.0,1,12.0,0,14.446514955180495,11.597859933333336,112.55700051614404,0.0,126.4960077394186,0.0,0.0,12.976215000000025
2022-11-01 20:15:00,12.0,0.0,19.606,0.0,13.932,1.0,1,12.0,0,14.402791599827358,11.597859933333336,116.20990464925768,0.0,128.66482130552214,0.0,0.0,12.95522250000002
2022-11-01 20:30:00,12.0,0.0,19.606,0.0,14.054,1.0,1,12.0,0,14.361751391873565,11.597859933333336,120.03848804430363,0.0,130.76504084973536,0.0,0.0,12.934230000000014
2022-11-01 20:45:00,12.0,0.0,19.606,0.0,14.054,1.0,1,12.0,0,14.363580704946314,11.597859933333336,124.063314987619,0.0,132.78365561265343,0.0,0.0,12.96614750000002
